placa;anno_permiso;Tipo_pago;CodSII;fecha_emision;fecha_pago;MONTO_PAGADO;REAJUSTE;MULTA;PERMISO_ANTERIOR;ELECTRONICO_PAPEL;FECHA_VENCIMIENTO;SEXO
BCGP47;2024;TOTAL;SU790049;06/02/2024;12/11/2024;58050;1412;6219;SANTIAGO;PAPEL;31/03/2025;H
BGDG83;2022;TOTAL;CT910015;13/11/2024;13/11/2024;50333;5620;16323;PUERTO MONTT;PAPEL;31/03/2023;M
BGDG83;2023;TOTAL;CT910015;13/11/2024;13/11/2024;42840;2069;9886;PUERTO MONTT;PAPEL;31/03/2024;M
BGDG83;2024;TOTAL;CT910015;13/11/2024;13/11/2024;37227;905;3989;SANTIAGO;PAPEL;31/03/2025;M
BLPD15;2023;TOTAL;SD500221;15/11/2024;15/11/2024;42840;2069;9886;PUERTO MONTT;PAPEL;31/03/2024;M
BLPD15;2024;TOTAL;SD500221;15/11/2024;15/11/2024;37227;905;3989;PUERTO MONTT;PAPEL;31/03/2025;H
BLPJ24;2024;TOTAL;;25/11/2024;25/11/2024;34070;99;992;SANTIAGO;PAPEL;30/09/2025;H
BPFP86;2023;TOTAL;;29/11/2024;29/11/2024;241137;9309;41850;PUERTO MONTT;PAPEL;30/09/2024;M
BPFP86;2024;TOTAL;;29/11/2024;29/11/2024;204450;594;5955;PUERTO MONTT;PAPEL;30/09/2025;H
BSBL50;2022;TOTAL;SD500189;21/11/2024;21/11/2024;48263;5390;15653;MAIPU;PAPEL;31/03/2023;H
BSBL50;2023;TOTAL;SD500189;21/11/2024;21/11/2024;42840;2069;9886;RENCA;PAPEL;31/03/2024;M
BSBL50;2024;TOTAL;SD500189;21/11/2024;21/11/2024;37227;905;3989;VALDIVIA;PAPEL;31/03/2025;M
BTRH37;2024;TOTAL;;25/09/2024;15/11/2024;34075;99;992;MAFIL;ELECTRONICO;30/09/2025;M
BTRT22;2024;2a Cuota;SU1620046;02/08/2024;28/11/2024;127924;1332;5509;SAN JOSE;PAPEL;31/03/2025;M
BVTJ68;2024;2a Cuota;SU790045;02/08/2024;08/11/2024;17370;181;748;SANTIAGO;PAPEL;31/03/2025;H
BWBL76;2024;2a Cuota;SD2430118;02/08/2024;18/11/2024;17370;181;748;PUERTO MONTT;ELECTRONICO;31/03/2025;H
BWWZ50;2017;TOTAL;C220006;20/11/2024;20/11/2024;214463;27446;124350;PUERTO MONTT;PAPEL;31/03/2018;H
BWWZ50;2018;TOTAL;C220006;20/11/2024;20/11/2024;181485;23904;98992;SANTIAGO;PAPEL;31/03/2019;M
BWWZ50;2019;TOTAL;C220006;20/11/2024;20/11/2024;144606;19599;73019;PUERTO MONTT;PAPEL;31/03/2020;M
BWWZ50;2020;TOTAL;CT1110037;20/11/2024;20/11/2024;101003;13673;44734;PUERTO MONTT;PAPEL;31/03/2021;M
BWWZ50;2021;TOTAL;CT1110037;20/11/2024;20/11/2024;80032;10867;31820;SANTIAGO;PAPEL;31/03/2022;M
BWWZ50;2022;TOTAL;CT1110037;20/11/2024;20/11/2024;69847;7800;22653;PUERTO MONTT;PAPEL;31/03/2023;H
BWWZ50;2023;TOTAL;CT1110037;20/11/2024;20/11/2024;47707;2304;11009;PUERTO MONTT;PAPEL;31/03/2024;H
BWWZ50;2024;TOTAL;CT1110037;20/11/2024;20/11/2024;37227;905;3989;MAIPU;PAPEL;31/03/2025;H
